simcell_1	gray
simcell_31,simcell_9,simcell_29	lightsteelblue
simcell_3	darkblue
simcell_30	peru
simcell_32	plum
simcell_18,simcell_19	lightgoldenrodyellow
simcell_26,simcell_25,simcell_15	navajowhite
simcell_11	lightgrey
simcell_48,simcell_50	wheat
simcell_14	slateblue
simcell_27	olive
simcell_41,simcell_42	yellow
simcell_75	saddlebrown
simcell_22	darkslategray
simcell_36	lemonchiffon
simcell_49	darkmagenta
simcell_46,simcell_47	darkviolet
simcell_61,simcell_45,simcell_59	darkseagreen
simcell_21	mediumslateblue
simcell_28	limegreen
simcell_74	chartreuse
simcell_54	silver
simcell_57,simcell_56	firebrick
simcell_58	royalblue
simcell_60	chocolate
simcell_62,simcell_63,simcell_64,simcell_65	darkkhaki
simcell_38	darkturquoise
simcell_71	deepskyblue
simcell_72	green
simcell_73	tomato
simcell_53	ghostwhite
simcell_83,simcell_82,simcell_81	purple
simcell_80,simcell_78	lightcyan
simcell_69	beige
simcell_79	ivory
simcell_68	whitesmoke
simcell_76	floralwhite
simcell_77	sandybrown
