simcell_1	gray
simcell_58,simcell_55,simcell_82,simcell_54,simcell_59,simcell_76,simcell_53	maroon
simcell_62	mediumpurple
simcell_27	paleturquoise
simcell_63	cyan
simcell_56	slateblue
simcell_83	fuchsia
simcell_57	navajowhite
simcell_52	moccasin
simcell_61	yellow
simcell_50	navy
simcell_49,simcell_48	purple
simcell_38	hotpink
simcell_68,simcell_67,simcell_66	wheat
simcell_72	aliceblue
simcell_77,simcell_81,simcell_79,simcell_78	rosybrown
simcell_40,simcell_18,simcell_41,simcell_39,simcell_19	sandybrown
simcell_4	blueviolet
simcell_51	slategray
simcell_74	gold
simcell_71	olivedrab
simcell_70	pink
simcell_80	mediumblue
simcell_42	palegreen
simcell_23,simcell_24,simcell_25	steelblue
simcell_44,simcell_45,simcell_43,simcell_46	brown
simcell_73	lightslategray
simcell_69	tomato
simcell_47	mintcream
simcell_21	peru
simcell_22	orange
