simcell_1	gray
simcell_2	lawngreen
simcell_21	lightcoral
simcell_42,simcell_25,simcell_43,simcell_24,simcell_11,simcell_23	wheat
simcell_3	mediumpurple
simcell_84,simcell_63,simcell_56	lightblue
simcell_41	powderblue
simcell_71	plum
simcell_68	gainsboro
simcell_44	lavenderblush
simcell_28,simcell_29	darkgoldenrod
simcell_31	burlywood
simcell_27	brown
simcell_17	indianred
simcell_64	dodgerblue
simcell_83	tomato
simcell_75,simcell_76	lightsalmon
simcell_66	palegoldenrod
simcell_36	tan
simcell_85,simcell_86	cornsilk
simcell_70	slategray
simcell_69	teal
simcell_48,simcell_47	lightgrey
simcell_26	salmon
simcell_16	lightskyblue
simcell_49,simcell_50,simcell_51,simcell_52	lightpink
simcell_65	blanchedalmond
simcell_67	dimgray
simcell_61	blue
simcell_81,simcell_82	linen
simcell_80	darkmagenta
simcell_59	antiquewhite
simcell_77	darkturquoise
simcell_46	skyblue
simcell_72,simcell_73	mintcream
simcell_54,simcell_53	beige
simcell_78	saddlebrown
simcell_74	darkblue
