simcell_1	gray
simcell_9,simcell_7,simcell_8	darkcyan
simcell_54,simcell_79,simcell_51,simcell_78,simcell_30,simcell_52,simcell_64,simcell_37	teal
simcell_36	darkmagenta
simcell_55	dimgray
simcell_15	saddlebrown
simcell_34	darkslategray
simcell_35	antiquewhite
simcell_63	khaki
simcell_29	midnightblue
simcell_53	brown
simcell_60,simcell_61	burlywood
simcell_49,simcell_50	darkorange
simcell_27,simcell_25	mediumturquoise
simcell_42,simcell_40,simcell_39,simcell_41	lightcoral
simcell_59,simcell_77,simcell_76	royalblue
simcell_48,simcell_46	darkviolet
simcell_26	chocolate
simcell_28	darkred
simcell_38	darkolivegreen
simcell_72,simcell_73	mistyrose
simcell_75	seagreen
simcell_47	lawngreen
simcell_68,simcell_67,simcell_45,simcell_69,simcell_66,simcell_65	steelblue
simcell_74	peru
simcell_70	lavender
simcell_71	lightsalmon
