simcell_1	gray
simcell_2	green
simcell_40,simcell_77,simcell_62,simcell_78,simcell_79,simcell_45,simcell_60	mistyrose
simcell_18,simcell_17,simcell_33,simcell_29,simcell_32,simcell_30,simcell_28	olivedrab
simcell_63	silver
simcell_61	plum
simcell_38	darkslateblue
simcell_68,simcell_69	darkorchid
simcell_64,simcell_66	mediumvioletred
simcell_76,simcell_71,simcell_73,simcell_70,simcell_74	fuchsia
simcell_13	navy
simcell_14	lightyellow
simcell_31	aquamarine
simcell_56,simcell_59,simcell_55,simcell_54	amethyst
simcell_46,simcell_50,simcell_51,simcell_53,simcell_49,simcell_11	lightsteelblue
simcell_37	palegoldenrod
simcell_65	darkslategray
simcell_67	khaki
simcell_75	saddlebrown
simcell_72	violet
simcell_43	cornflowerblue
simcell_58	brown
simcell_57	slategray
simcell_52	palevioletred
simcell_48	firebrick
simcell_47	lightsalmon
