simcell_1	gray
simcell_38,simcell_37	azure
simcell_8	red
simcell_4	lemonchiffon
simcell_42,simcell_40,simcell_43,simcell_39	linen
simcell_14,simcell_30	darkgoldenrod
simcell_51,simcell_23,simcell_50,simcell_46,simcell_49,simcell_48,simcell_24	slateblue
simcell_73,simcell_60,simcell_71,simcell_72	lightgoldenrodyellow
simcell_20	violet
simcell_19	powderblue
simcell_11	magenta
simcell_27	darkolivegreen
simcell_41	saddlebrown
simcell_31	teal
simcell_52,simcell_29	lightyellow
simcell_47	green
simcell_63	mediumturquoise
simcell_34	mistyrose
simcell_74	darkturquoise
simcell_75	cornflowerblue
simcell_65,simcell_79,simcell_78	orange
simcell_81,simcell_67	midnightblue
simcell_58	pink
simcell_44	peru
simcell_45	sandybrown
simcell_26	chartreuse
simcell_25	lightsalmon
simcell_53	deepskyblue
simcell_77	seashell
simcell_76	darkorchid
simcell_80	dodgerblue
simcell_82	floralwhite
simcell_57	bisque
simcell_69,simcell_68	beige
simcell_70	turquoise
