S1	neut_5_37_simulator_naive
S2	neut_50_6_simulator_simcell_23
S3	neut_50_7_simulator_simcell_59
S4	neut_10_23_simulator_simcell_6
S5	neut_10_23_simulator_simcell_5
S6	neut_10_23_simulator_simcell_9
S7	neut_10_27_simulator_simcell_6
S8	neut_50_4_simulator_simcell_55
S9	neut_50_4_simulator_simcell_56
S10	neut_50_4_simulator_simcell_57
S11	neut_50_3_simulator_simcell_68
S12	neut_50_3_simulator_simcell_69
S13	neut_50_4_simulator_simcell_52
S14	neut_50_4_simulator_simcell_53
S15	neut_50_2_simulator_simcell_16
S16	neut_50_3_simulator_simcell_65
S17	neut_50_3_simulator_simcell_66
S18	neut_50_7_simulator_simcell_45
S19	neut_50_2_simulator_simcell_12
S20	neut_50_3_simulator_simcell_61
S21	neut_50_3_simulator_simcell_62
S22	neut_10_27_simulator_simcell_9
S23	neut_50_5_simulator_simcell_48
S24	neut_50_5_simulator_simcell_49
S25	neut_50_10_simulator_naive
S26	neut_50_5_simulator_simcell_46
S27	neut_50_5_simulator_simcell_40
S28	neut_50_5_simulator_simcell_41
S29	neut_50_5_simulator_simcell_42
S30	neut_50_9_simulator_simcell_78
S31	neut_50_12_simulator_simcell_51
S32	neut_50_12_simulator_simcell_52
S33	neut_50_12_simulator_simcell_53
S34	neut_50_12_simulator_simcell_54
S35	neut_50_12_simulator_simcell_55
S36	neut_50_10_simulator_simcell_58
S37	neut_50_10_simulator_simcell_59
S38	neut_50_10_simulator_simcell_56
S39	neut_50_12_simulator_simcell_59
S40	neut_50_10_simulator_simcell_54
S41	neut_50_10_simulator_simcell_55
S42	neut_50_10_simulator_simcell_52
S43	neut_50_10_simulator_simcell_53
S44	neut_50_10_simulator_simcell_50
S45	neut_50_10_simulator_simcell_51
S46	neut_50_9_simulator_simcell_75
S47	neut_5_31_simulator_naive
S48	neut_50_9_simulator_simcell_74
S49	neut_10_21_simulator_naive
S50	neut_5_50_simulator_simcell_8
S51	neut_5_50_simulator_simcell_7
S52	neut_50_11_simulator_simcell_68
S53	neut_5_50_simulator_simcell_5
S54	neut_5_50_simulator_simcell_3
S55	neut_50_11_simulator_simcell_69
S56	neut_50_11_simulator_simcell_46
S57	neut_50_1_simulator_simcell_31
S58	neut_5_51_simulator_simcell_8
S59	neut_50_1_simulator_simcell_10
S60	neut_50_1_simulator_simcell_17
S61	neut_50_11_simulator_simcell_43
S62	neut_50_11_simulator_simcell_40
S63	neut_50_11_simulator_simcell_41
S64	neut_50_13_simulator_simcell_17
S65	neut_50_13_simulator_simcell_15
S66	neut_50_13_simulator_simcell_14
S67	neut_50_6_simulator_simcell_36
S68	neut_50_13_simulator_simcell_10
S69	neut_50_13_simulator_simcell_68
S70	neut_50_11_simulator_simcell_67
S71	neut_50_14_simulator_simcell_49
S72	neut_50_13_simulator_simcell_62
S73	neut_50_13_simulator_simcell_63
S74	neut_50_13_simulator_simcell_60
S75	neut_50_13_simulator_simcell_61
S76	neut_50_13_simulator_simcell_66
S77	neut_50_13_simulator_simcell_67
S78	neut_50_13_simulator_simcell_64
S79	neut_50_13_simulator_simcell_65
S80	neut_50_6_simulator_simcell_32
S81	neut_5_51_simulator_simcell_4
S82	neut_50_9_simulator_simcell_26
S83	neut_50_6_simulator_simcell_33
S84	neut_10_27_simulator_simcell_14
S85	neut_10_27_simulator_simcell_15
S86	neut_10_27_simulator_simcell_16
S87	neut_10_27_simulator_simcell_17
S88	neut_10_27_simulator_simcell_10
S89	neut_10_27_simulator_simcell_11
S90	neut_10_27_simulator_simcell_12
S91	neut_10_27_simulator_simcell_13
S92	neut_50_6_simulator_simcell_44
S93	neut_50_6_simulator_simcell_41
S94	neut_50_6_simulator_simcell_40
S95	neut_50_1_simulator_simcell_68
S96	neut_3_46_simulator_naive
S97	neut_50_10_simulator_simcell_57
S98	neut_50_4_simulator_simcell_50
S99	neut_50_4_simulator_simcell_51
S100	neut_50_7_simulator_simcell_56
S101	neut_50_7_simulator_simcell_48
S102	neut_50_7_simulator_simcell_49
S103	neut_50_9_simulator_simcell_48
S104	neut_50_3_simulator_simcell_64
S105	neut_3_54_simulator_simcell_3
S106	neut_3_54_simulator_simcell_2
S107	neut_3_54_simulator_simcell_4
S108	neut_10_25_simulator_simcell_12
S109	neut_10_25_simulator_simcell_13
S110	neut_10_25_simulator_simcell_10
S111	neut_10_25_simulator_simcell_11
S112	neut_10_25_simulator_simcell_16
S113	neut_10_25_simulator_simcell_17
S114	neut_10_25_simulator_simcell_14
S115	neut_10_25_simulator_simcell_15
S116	neut_50_7_simulator_simcell_51
S117	neut_50_3_simulator_simcell_60
S118	neut_5_36_simulator_naive
S119	neut_5_52_simulator_naive
S120	neut_50_4_simulator_simcell_59
S121	neut_50_3_simulator_simcell_37
S122	neut_3_53_simulator_simcell_3
S123	neut_50_3_simulator_simcell_35
S124	neut_50_3_simulator_simcell_34
S125	neut_50_3_simulator_simcell_33
S126	neut_50_7_simulator_simcell_40
S127	neut_3_53_simulator_simcell_4
S128	neut_3_53_simulator_simcell_5
S129	neut_50_2_simulator_simcell_11
