simcell_1	gray
simcell_16	deeppink
simcell_57,simcell_28,simcell_42,simcell_26,simcell_78,simcell_37,simcell_77	mediumslateblue
simcell_15	snow
simcell_17	mediumspringgreen
simcell_30,simcell_32,simcell_33,simcell_31	firebrick
simcell_11	lightcoral
simcell_43	lightsteelblue
simcell_27	powderblue
simcell_36	whitesmoke
simcell_39	darkkhaki
simcell_74,simcell_73	slategray
simcell_47,simcell_48,simcell_46	mediumvioletred
simcell_59,simcell_84,simcell_85,simcell_79,simcell_80	olive
simcell_71,simcell_72,simcell_67,simcell_69,simcell_53,simcell_51,simcell_68	ivory
simcell_29	mediumpurple
simcell_38	cadetblue
simcell_76,simcell_75	lavender
simcell_65,simcell_64	palegreen
simcell_63,simcell_62	hotpink
simcell_83,simcell_82,simcell_81	darkslategray
simcell_52	amethyst
simcell_70	moccasin
simcell_66	lawngreen
