simcell_1	gray
simcell_64	pink
simcell_63	lightgreen
simcell_43	aqua
simcell_61,simcell_79,simcell_78	saddlebrown
simcell_28,simcell_50	tan
simcell_67,simcell_72,simcell_71,simcell_49	powderblue
simcell_54,simcell_57,simcell_35,simcell_55,simcell_39,simcell_34	lightgrey
simcell_41	mediumorchid
simcell_62	yellow
simcell_80	dodgerblue
simcell_51	darkorchid
simcell_14	amethyst
simcell_30,simcell_17,simcell_16,simcell_29	indigo
simcell_47	greenyellow
simcell_68	papayawhip
simcell_73	firebrick
simcell_66,simcell_65	plum
simcell_46	navy
simcell_38	linen
simcell_56	mediumaquamarine
simcell_58	steelblue
simcell_77,simcell_90,simcell_33	teal
simcell_81	lightpink
simcell_31	paleturquoise
simcell_70	aquamarine
simcell_82,simcell_83,simcell_85,simcell_84	lightblue
simcell_76	palevioletred
simcell_89	indianred
simcell_88,simcell_86	deepskyblue
simcell_87	bisque
