simcell_1	gray
simcell_24,simcell_26,simcell_25,simcell_22,simcell_13,simcell_23	turquoise
simcell_61,simcell_16,simcell_30,simcell_64,simcell_19,simcell_29,simcell_63,simcell_28,simcell_44,simcell_27,simcell_17	lightcoral
simcell_7	peru
simcell_34	lavender
simcell_62	orchid
simcell_48,simcell_68,simcell_86,simcell_69,simcell_47	yellow
simcell_60,simcell_41,simcell_51	palegreen
simcell_85	navajowhite
simcell_70	cornflowerblue
simcell_81,simcell_83,simcell_84	paleturquoise
simcell_50	lightgoldenrodyellow
simcell_59	darkturquoise
simcell_71,simcell_72	khaki
simcell_58,simcell_56	moccasin
simcell_74,simcell_80,simcell_76,simcell_75,simcell_78,simcell_55,simcell_77,simcell_73,simcell_79	aqua
simcell_82	darkblue
simcell_57	cornsilk
