simcell_1	gray
simcell_2	sienna
simcell_60,simcell_39,simcell_61,simcell_38,simcell_36,simcell_34,simcell_37,simcell_8,simcell_58	lightsalmon
simcell_80,simcell_66	yellowgreen
simcell_62	darkgoldenrod
simcell_32	darkslategray
simcell_35	lawngreen
simcell_59	pink
simcell_81	turquoise
simcell_43,simcell_42	olivedrab
simcell_11	gold
simcell_56,simcell_26,simcell_57,simcell_29,simcell_25	teal
simcell_84,simcell_77,simcell_83,simcell_82	thistle
simcell_69,simcell_67,simcell_68	darkgreen
simcell_52	lightskyblue
simcell_71,simcell_72	firebrick
simcell_55,simcell_53	powderblue
simcell_27	darkcyan
simcell_30	darkorchid
simcell_28	aquamarine
simcell_76	darkviolet
simcell_85	palegoldenrod
simcell_78	oldlace
simcell_47	purple
simcell_70	mediumseagreen
simcell_48	blue
simcell_45	darkseagreen
simcell_49	aliceblue
simcell_73	silver
simcell_54	beige
simcell_79	blueviolet
simcell_50	mediumblue
