simcell_1	gray
simcell_2	purple
simcell_26	moccasin
simcell_29	mintcream
simcell_30	orange
simcell_25	tan
simcell_28,simcell_27	dimgray
simcell_43,simcell_40,simcell_42,simcell_41	darkcyan
simcell_46,simcell_47,simcell_48	mediumturquoise
simcell_72,simcell_70,simcell_73,simcell_66,simcell_69,simcell_68,simcell_71,simcell_18,simcell_67,simcell_74	khaki
simcell_15,simcell_64,simcell_57,simcell_56,simcell_62,simcell_16,simcell_65	lightskyblue
simcell_24	azure
simcell_49	saddlebrown
simcell_45,simcell_44	yellowgreen
simcell_63	darkgray
simcell_54	peru
simcell_79,simcell_78	purple
simcell_80,simcell_81	sandybrown
simcell_82,simcell_83	rosybrown
simcell_59,simcell_58,simcell_61,simcell_60	lightsteelblue
simcell_51,simcell_77,simcell_76	coral
simcell_75	greenyellow
