simcell_1	gray
simcell_7,simcell_15,simcell_13,simcell_14	gold
simcell_47,simcell_68,simcell_45,simcell_46,simcell_67	darksalmon
simcell_28,simcell_30	chartreuse
simcell_8	dodgerblue
simcell_26	brown
simcell_43,simcell_65	green
simcell_80	rosybrown
simcell_63,simcell_83,simcell_84,simcell_82	darkblue
simcell_50,simcell_51	teal
simcell_69	greenyellow
simcell_76,simcell_78,simcell_58,simcell_37,simcell_57,simcell_59,simcell_71,simcell_79,simcell_73,simcell_36,simcell_75	lawngreen
simcell_66	violet
simcell_81	khaki
simcell_61	slategray
simcell_64	bisque
simcell_52	darkturquoise
simcell_70	darkgray
simcell_49	thistle
simcell_55	darkslateblue
simcell_72	sandybrown
simcell_35	amethyst
simcell_32	lightgreen
simcell_74	olive
simcell_34	purple
simcell_77	papayawhip
simcell_38,simcell_39	peachpuff
