simcell_1	gray
simcell_140,simcell_161,simcell_139,simcell_124,simcell_125,simcell_146,simcell_162,simcell_39,simcell_143,simcell_21,simcell_134,simcell_152,simcell_11,simcell_144,simcell_148,simcell_113,simcell_142,simcell_141,simcell_112,simcell_138	lightsteelblue
simcell_40	lavenderblush
simcell_145	darkgray
simcell_22	slateblue
simcell_111	yellowgreen
simcell_137	fuchsia
simcell_74	green
simcell_147	steelblue
simcell_20	lightblue
simcell_151	palegreen
simcell_76	greenyellow
simcell_10	mediumslateblue
simcell_149,simcell_150	seagreen
simcell_165,simcell_166	darkolivegreen
simcell_123,simcell_121,simcell_122	lavender
simcell_23,simcell_25,simcell_26	honeydew
simcell_30	slategray
simcell_72,simcell_71	cadetblue
simcell_86,simcell_87,simcell_85,simcell_88	mediumspringgreen
simcell_158,simcell_155,simcell_154,simcell_153,simcell_157,simcell_159,simcell_156	dimgray
simcell_6	snow
simcell_164,simcell_163	lime
simcell_120	olive
simcell_24	saddlebrown
simcell_56,simcell_57,simcell_54	seashell
simcell_44	darkgoldenrod
simcell_45	sienna
simcell_42	powderblue
simcell_43	blanchedalmond
simcell_89	whitesmoke
simcell_53	darkturquoise
simcell_160	papayawhip
simcell_117	thistle
simcell_119	silver
simcell_14	ivory
simcell_38,simcell_69,simcell_70	sandybrown
simcell_65,simcell_100,simcell_102,simcell_96	bisque
simcell_126,simcell_128,simcell_127	skyblue
simcell_55	peachpuff
simcell_118	cyan
simcell_32	lemonchiffon
simcell_58,simcell_59	plum
simcell_68	beige
simcell_97	darkblue
simcell_101	teal
simcell_66	mediumorchid
simcell_93	palegoldenrod
simcell_132	deeppink
simcell_130,simcell_129	aliceblue
simcell_34	lightyellow
simcell_94,simcell_95	darkred
simcell_98	chartreuse
simcell_99	brown
simcell_131	dodgerblue
simcell_62	limegreen
simcell_63	deepskyblue
