simcell_1	gray
simcell_2	darkgoldenrod
simcell_18,simcell_17,simcell_9	mediumorchid
simcell_3	lavender
simcell_27,simcell_28,simcell_15	mediumaquamarine
simcell_13	darkseagreen
simcell_66,simcell_67	seashell
simcell_55,simcell_60,simcell_62,simcell_59	peachpuff
simcell_16	lightskyblue
simcell_26	darkorchid
simcell_72	beige
simcell_65	darkturquoise
simcell_70,simcell_69	powderblue
simcell_45,simcell_43,simcell_42	blanchedalmond
simcell_37	darkmagenta
simcell_56	lightpink
simcell_61	darkslateblue
simcell_63,simcell_64	mintcream
simcell_34	deepskyblue
simcell_84,simcell_83,simcell_76	lightcyan
simcell_71	forestgreen
simcell_73,simcell_75,simcell_74	turquoise
simcell_68	gold
simcell_44	lawngreen
simcell_39	cyan
simcell_86	peru
simcell_85	amethyst
simcell_88,simcell_87	mediumblue
simcell_32	fuchsia
simcell_77	ghostwhite
simcell_54	floralwhite
simcell_78	mediumvioletred
simcell_51	maroon
simcell_79	coral
simcell_52	cornflowerblue
simcell_82,simcell_80	azure
simcell_81	lightslategray
