simcell_10,simcell_1	gray
simcell_46,simcell_48	cornsilk
simcell_43,simcell_44	firebrick
simcell_62,simcell_63,simcell_60,simcell_53,simcell_64,simcell_54	red
simcell_45	tan
simcell_47	mintcream
simcell_21	darkcyan
simcell_61	chocolate
simcell_81	brown
simcell_80	mediumpurple
simcell_70	sandybrown
simcell_35	lawngreen
simcell_27,simcell_28	royalblue
simcell_58,simcell_59,simcell_57	pink
simcell_84,simcell_83,simcell_82	forestgreen
simcell_11	linen
simcell_20	darkgreen
simcell_29,simcell_31,simcell_30	seashell
simcell_77,simcell_76	mediumturquoise
simcell_16	peru
simcell_42	thistle
simcell_65,simcell_67	gainsboro
simcell_79	mediumaquamarine
simcell_78	darkblue
simcell_36	darkolivegreen
simcell_26	olive
simcell_50	plum
simcell_19	khaki
simcell_18	darkgoldenrod
simcell_32	yellowgreen
simcell_75	lightgoldenrodyellow
simcell_69	cornflowerblue
simcell_38	lightgrey
simcell_56	aliceblue
simcell_66	navajowhite
simcell_49	darkmagenta
simcell_73	indigo
simcell_74	slateblue
