simcell_1	gray
simcell_56,simcell_45,simcell_28	darkslategray
simcell_46	mediumblue
simcell_44	forestgreen
simcell_47	peru
simcell_55	deepskyblue
simcell_7	hotpink
simcell_30,simcell_29	slategray
simcell_24,simcell_25	azure
simcell_49,simcell_48,simcell_51,simcell_50	darkseagreen
simcell_54,simcell_53	lemonchiffon
simcell_58,simcell_74	aquamarine
simcell_38,simcell_70,simcell_41,simcell_68,simcell_69,simcell_42,simcell_43	goldenrod
simcell_16	mediumpurple
simcell_17	chocolate
simcell_71	wheat
simcell_72	violet
simcell_73	royalblue
simcell_59	floralwhite
simcell_75	navy
simcell_33	honeydew
simcell_15	linen
simcell_77,simcell_61,simcell_76,simcell_63,simcell_62	firebrick
simcell_40	darkkhaki
simcell_39	thistle
simcell_79,simcell_81,simcell_78,simcell_67	olive
simcell_34	aqua
simcell_35	darkorchid
simcell_64	darkslateblue
simcell_82	orangered
simcell_80	khaki
