simcell_1	gray
simcell_72,simcell_76,simcell_73,simcell_79,simcell_74,simcell_77,simcell_78,simcell_75	darkkhaki
simcell_21	lawngreen
simcell_51	azure
simcell_54	oldlace
simcell_66	maroon
simcell_62	lightblue
simcell_20	firebrick
simcell_50	seashell
simcell_11,simcell_12	springgreen
simcell_18,simcell_17	peru
simcell_56,simcell_55	honeydew
simcell_29	beige
simcell_34	magenta
simcell_68	brown
simcell_67	turquoise
simcell_36	purple
simcell_57	rosybrown
simcell_38,simcell_39,simcell_37	mistyrose
simcell_69	peachpuff
simcell_41,simcell_42	darkslategray
simcell_28	lavender
simcell_15	darkorchid
simcell_16	coral
simcell_45,simcell_43	lightcyan
simcell_49,simcell_46	papayawhip
simcell_58	sienna
simcell_71	limegreen
simcell_70	darkorange
simcell_40	darksalmon
simcell_44	floralwhite
simcell_48	darkslateblue
simcell_47	lemonchiffon
