simcell_1	gray
simcell_2	slategray
simcell_4	pink
simcell_3	darkorchid
simcell_7	blueviolet
simcell_8	cornsilk
simcell_6	lightgoldenrodyellow
simcell_5	lightcyan
simcell_10	khaki
simcell_9	green
simcell_25	lightgrey
simcell_45,simcell_47,simcell_46	mediumslateblue
simcell_43,simcell_68,simcell_67	darkturquoise
simcell_64,simcell_62,simcell_63	lightsteelblue
simcell_29	steelblue
simcell_32,simcell_33	amethyst
simcell_50,simcell_51	cadetblue
simcell_72,simcell_73	silver
simcell_48	darkslategray
simcell_58,simcell_59,simcell_57,simcell_35	hotpink
simcell_76,simcell_74	slateblue
simcell_26	lightslategray
simcell_69	firebrick
simcell_44	aquamarine
simcell_22	mediumblue
simcell_65	lightpink
simcell_66	orange
simcell_83,simcell_80,simcell_79,simcell_82	oldlace
simcell_87	lightsalmon
simcell_84	seagreen
simcell_37,simcell_38	brown
simcell_53	orchid
simcell_54	blanchedalmond
simcell_75	lawngreen
simcell_56,simcell_78	snow
simcell_81	powderblue
simcell_86	burlywood
simcell_85	navajowhite
simcell_36	azure
simcell_77	palegoldenrod
