simcell_1	gray
simcell_2	maroon
simcell_40,simcell_41	hotpink
simcell_86,simcell_82,simcell_83	darkkhaki
simcell_49,simcell_50	violet
simcell_20	indianred
simcell_10	lightsalmon
simcell_87	mediumspringgreen
simcell_73	palevioletred
simcell_84,simcell_85	orange
simcell_24	oldlace
simcell_77,simcell_76	wheat
simcell_48	orangered
simcell_16	mediumpurple
simcell_55,simcell_56	deepskyblue
simcell_26	mintcream
simcell_54,simcell_52,simcell_53	greenyellow
simcell_67,simcell_68	firebrick
simcell_33,simcell_34	lightgoldenrodyellow
simcell_23	royalblue
simcell_45	aliceblue
simcell_46,simcell_47	khaki
simcell_51	tan
simcell_71,simcell_70	burlywood
simcell_66	goldenrod
simcell_58	ghostwhite
simcell_79	blanchedalmond
simcell_60,simcell_81	tomato
simcell_63,simcell_62,simcell_64,simcell_61	slateblue
simcell_69	darkorchid
simcell_36	palegreen
simcell_65	darkseagreen
simcell_37	lightsteelblue
simcell_78	coral
simcell_80	yellow
