simcell_1	gray
simcell_2	turquoise
simcell_15	mediumturquoise
simcell_10	silver
simcell_14	whitesmoke
simcell_13,simcell_12	mintcream
simcell_39,simcell_38,simcell_60,simcell_61,simcell_62	wheat
simcell_57,simcell_56	oldlace
simcell_43,simcell_52,simcell_64,simcell_63	lightpink
simcell_41	lavender
simcell_25	darkseagreen
simcell_40	lavenderblush
simcell_11	mediumvioletred
simcell_59	indigo
simcell_80,simcell_81	red
simcell_35,simcell_34	darkkhaki
simcell_82,simcell_84	deepskyblue
simcell_19	darkorchid
simcell_53	lightcyan
simcell_75,simcell_74	tomato
simcell_69,simcell_68	aliceblue
simcell_77,simcell_76,simcell_79	pink
simcell_44	moccasin
simcell_17	lightsteelblue
simcell_58	ghostwhite
simcell_83	forestgreen
simcell_78	lightskyblue
simcell_67	palegoldenrod
simcell_86,simcell_85	darksalmon
simcell_89	yellowgreen
simcell_48	mediumblue
simcell_71,simcell_70	lightgrey
simcell_88	teal
simcell_87	navy
simcell_49	darkgreen
simcell_73,simcell_72	darkolivegreen
