simcell_1	gray
simcell_13	lemonchiffon
simcell_74,simcell_48,simcell_73	lavender
simcell_43,simcell_24,simcell_44	saddlebrown
simcell_51,simcell_54	mediumslateblue
simcell_40,simcell_70,simcell_69,simcell_39	dimgray
simcell_50	chartreuse
simcell_49	powderblue
simcell_76,simcell_75	lime
simcell_45	orchid
simcell_41,simcell_42	firebrick
simcell_28	seashell
simcell_16	floralwhite
simcell_53	purple
simcell_52	indianred
simcell_57	brown
simcell_18	peachpuff
simcell_38	navajowhite
simcell_65	antiquewhite
simcell_33	blue
simcell_68	amethyst
simcell_82,simcell_81,simcell_79	aliceblue
simcell_22	darkblue
simcell_31	snow
simcell_58	honeydew
simcell_56	lightcyan
simcell_71	darkturquoise
simcell_72	beige
simcell_64	navy
simcell_66	skyblue
simcell_60	lightcoral
simcell_77,simcell_78	blanchedalmond
simcell_85,simcell_87	greenyellow
simcell_80	cyan
simcell_83	lightsteelblue
simcell_55	olivedrab
simcell_86	thistle
simcell_84	deeppink
