simcell_1	gray
simcell_48,simcell_49,simcell_81,simcell_80,simcell_70,simcell_68,simcell_46,simcell_83,simcell_47,simcell_45	gainsboro
simcell_38	darkorchid
simcell_37	darkviolet
simcell_25	darkmagenta
simcell_82	mediumslateblue
simcell_24	red
simcell_26	magenta
simcell_39	lightskyblue
simcell_20	darkcyan
simcell_64,simcell_63	lawngreen
simcell_33,simcell_32	teal
simcell_40	seashell
simcell_42	lightcyan
simcell_65	antiquewhite
simcell_60	crimson
simcell_76,simcell_58,simcell_77	powderblue
simcell_16	purple
simcell_30,simcell_54,simcell_55	paleturquoise
simcell_66	violet
simcell_61	dodgerblue
simcell_59	peru
simcell_62	plum
simcell_78,simcell_79	floralwhite
simcell_31	greenyellow
simcell_51	darkseagreen
simcell_53	yellowgreen
simcell_87,simcell_85,simcell_89,simcell_86,simcell_84,simcell_73,simcell_88	lightblue
simcell_75,simcell_74	seagreen
