simcell_1	gray
simcell_2	purple
simcell_8	darkseagreen
simcell_7	turquoise
simcell_3	violet
simcell_31	burlywood
simcell_33	cadetblue
simcell_14	lightslategray
simcell_57,simcell_60,simcell_59	aquamarine
simcell_43	snow
simcell_53,simcell_55,simcell_56,simcell_50,simcell_48,simcell_49	midnightblue
simcell_78,simcell_85,simcell_77,simcell_83,simcell_65,simcell_76,simcell_86	moccasin
simcell_32	oldlace
simcell_34	darkred
simcell_30	lightgoldenrodyellow
simcell_63	magenta
simcell_58	linen
simcell_28	peachpuff
simcell_44	orangered
simcell_45	indigo
simcell_42	skyblue
simcell_47	slateblue
simcell_46	yellow
simcell_21	sandybrown
simcell_52	lightgrey
simcell_54	navajowhite
simcell_24	mediumpurple
simcell_81	antiquewhite
simcell_66	mediumblue
simcell_84	lightsalmon
simcell_69	mediumvioletred
simcell_79	aqua
simcell_71	mediumspringgreen
simcell_74,simcell_75	lightskyblue
simcell_73	limegreen
simcell_64	silver
simcell_62	darkgray
simcell_61	whitesmoke
simcell_82	darkorange
simcell_88	darkgreen
simcell_87	sienna
simcell_80	yellowgreen
simcell_70	darkslategray
simcell_72	darkgoldenrod
