simcell_1	gray
simcell_2	lightsteelblue
simcell_4	peru
simcell_82,simcell_37,simcell_81,simcell_83,simcell_69,simcell_38,simcell_58	amethyst
simcell_9	lightsalmon
simcell_10	moccasin
simcell_39,simcell_19,simcell_40,simcell_20	mediumorchid
simcell_34	slategray
simcell_60	turquoise
simcell_59	mediumpurple
simcell_35	wheat
simcell_36	magenta
simcell_12	navy
simcell_28,simcell_29	palevioletred
simcell_67	seashell
simcell_22	azure
simcell_13	lightgrey
simcell_54,simcell_77,simcell_51,simcell_52,simcell_78	darkkhaki
simcell_21	mediumspringgreen
simcell_25	darkmagenta
simcell_24	firebrick
simcell_65	blueviolet
simcell_66	ghostwhite
simcell_64,simcell_63	peachpuff
simcell_79,simcell_62,simcell_80	aliceblue
simcell_46	navajowhite
simcell_72,simcell_70,simcell_71	lightcyan
simcell_48	aqua
simcell_50	lightpink
simcell_57	coral
simcell_56	mediumvioletred
simcell_55	mediumseagreen
simcell_75	darkolivegreen
simcell_84,simcell_85	powderblue
simcell_76	cyan
simcell_74	darkseagreen
