simcell_1	gray
simcell_27,simcell_44,simcell_49,simcell_52,simcell_51,simcell_50,simcell_28,simcell_45	lightgrey
simcell_24	whitesmoke
simcell_5	crimson
simcell_75,simcell_72,simcell_74,simcell_76	azure
simcell_4	orchid
simcell_55,simcell_61,simcell_31,simcell_65,simcell_54,simcell_63,simcell_62,simcell_57,simcell_53,simcell_59	lightseagreen
simcell_10	purple
simcell_11	wheat
simcell_71	cadetblue
simcell_48	darkgray
simcell_70	linen
simcell_73	olivedrab
simcell_21,simcell_22	firebrick
simcell_40,simcell_37,simcell_36,simcell_38,simcell_43	mediumblue
simcell_58	oldlace
simcell_64	goldenrod
simcell_60	mediumaquamarine
simcell_32	chocolate
simcell_56	red
simcell_67,simcell_66	orange
simcell_35	lightsalmon
simcell_41	maroon
simcell_39	violet
simcell_42	greenyellow
simcell_20	mediumseagreen
simcell_69	moccasin
simcell_68	peru
