simcell_1	gray
simcell_2	darkolivegreen
simcell_3	cornsilk
simcell_35,simcell_32,simcell_61,simcell_63	lightgrey
simcell_20	coral
simcell_21	saddlebrown
simcell_19	thistle
simcell_12,simcell_42,simcell_41,simcell_43,simcell_24	palegoldenrod
simcell_34	silver
simcell_62	khaki
simcell_33	lavenderblush
simcell_17	greenyellow
simcell_71,simcell_59,simcell_75,simcell_77,simcell_72,simcell_49,simcell_48,simcell_67,simcell_73,simcell_70,simcell_50,simcell_74,simcell_76	lightblue
simcell_38,simcell_37,simcell_36	darkred
simcell_40	dodgerblue
simcell_68	blue
simcell_56	ghostwhite
simcell_60	orange
simcell_54	dimgray
simcell_69	darkseagreen
simcell_80,simcell_81	chartreuse
simcell_64,simcell_65,simcell_66,simcell_45,simcell_46	steelblue
simcell_39	mediumturquoise
simcell_82	ivory
simcell_79	mediumseagreen
simcell_47	darkviolet
simcell_78	oldlace
