S1	neut_5_37_simulator_naive
S2	neut_50_7_simulator_simcell_9
S3	neut_10_23_simulator_simcell_6
S4	neut_10_23_simulator_simcell_7
S5	neut_50_4_simulator_simcell_54
S6	neut_50_4_simulator_simcell_55
S7	neut_50_4_simulator_simcell_56
S8	neut_50_4_simulator_simcell_57
S9	neut_50_3_simulator_simcell_68
S10	neut_50_3_simulator_simcell_69
S11	neut_50_4_simulator_simcell_52
S12	neut_50_4_simulator_simcell_53
S13	neut_50_2_simulator_simcell_16
S14	neut_50_3_simulator_simcell_65
S15	neut_50_2_simulator_simcell_14
S16	neut_50_2_simulator_simcell_15
S17	neut_50_3_simulator_simcell_60
S18	neut_3_40_simulator_simcell_2
S19	neut_10_27_simulator_simcell_8
S20	neut_10_27_simulator_simcell_9
S21	neut_50_10_simulator_naive
S22	neut_50_5_simulator_simcell_44
S23	neut_50_5_simulator_simcell_45
S24	neut_50_5_simulator_simcell_46
S25	neut_50_5_simulator_simcell_47
S26	neut_50_5_simulator_simcell_43
S27	neut_50_12_simulator_simcell_51
S28	neut_50_12_simulator_simcell_52
S29	neut_50_12_simulator_simcell_53
S30	neut_50_10_simulator_simcell_58
S31	neut_50_10_simulator_simcell_59
S32	neut_50_10_simulator_simcell_56
S33	neut_50_12_simulator_simcell_59
S34	neut_50_10_simulator_simcell_54
S35	neut_50_10_simulator_simcell_53
S36	neut_50_10_simulator_simcell_50
S37	neut_5_31_simulator_naive
S38	neut_50_9_simulator_simcell_74
S39	neut_10_21_simulator_naive
S40	neut_50_9_simulator_simcell_71
S41	neut_50_9_simulator_simcell_70
S42	neut_5_50_simulator_simcell_9
S43	neut_5_50_simulator_simcell_8
S44	neut_5_50_simulator_simcell_7
S45	neut_50_11_simulator_simcell_68
S46	neut_5_50_simulator_simcell_5
S47	neut_50_11_simulator_simcell_69
S48	neut_50_11_simulator_simcell_46
S49	neut_50_11_simulator_simcell_47
S50	neut_50_11_simulator_simcell_44
S51	neut_50_11_simulator_simcell_45
S52	neut_50_11_simulator_simcell_42
S53	neut_50_11_simulator_simcell_43
S54	neut_50_11_simulator_simcell_40
S55	neut_50_11_simulator_simcell_41
S56	neut_50_13_simulator_simcell_14
S57	neut_50_13_simulator_simcell_13
S58	neut_50_11_simulator_simcell_66
S59	neut_50_11_simulator_simcell_48
S60	neut_50_11_simulator_simcell_49
S61	neut_50_13_simulator_simcell_68
S62	neut_50_11_simulator_simcell_67
S63	neut_50_14_simulator_simcell_49
S64	neut_50_14_simulator_simcell_48
S65	neut_50_13_simulator_simcell_62
S66	neut_50_13_simulator_simcell_63
S67	neut_50_13_simulator_simcell_60
S68	neut_50_13_simulator_simcell_61
S69	neut_50_13_simulator_simcell_66
