simcell_1	gray
simcell_8	darkgreen
simcell_70,simcell_71	mediumblue
simcell_48	darkgray
simcell_27,simcell_29,simcell_31,simcell_28,simcell_26,simcell_32,simcell_30	yellowgreen
simcell_66,simcell_64,simcell_63,simcell_67,simcell_62,simcell_65	teal
simcell_80,simcell_81,simcell_79,simcell_78,simcell_61	deeppink
simcell_53,simcell_74,simcell_83,simcell_75,simcell_84,simcell_89,simcell_51,simcell_86,simcell_87,simcell_82,simcell_88,simcell_85	palevioletred
simcell_7	mediumpurple
simcell_44	lightgoldenrodyellow
simcell_47	fuchsia
simcell_45	aquamarine
simcell_46	lightsalmon
simcell_40	powderblue
simcell_69	springgreen
simcell_36	ghostwhite
simcell_56,simcell_58,simcell_57	floralwhite
simcell_73	indianred
simcell_68	thistle
simcell_42	lawngreen
simcell_55	indigo
simcell_54	lavenderblush
