simcell_1	gray
simcell_2	lightcyan
simcell_4	fuchsia
simcell_27,simcell_78,simcell_80,simcell_82,simcell_84,simcell_77,simcell_43,simcell_63,simcell_44,simcell_81	wheat
simcell_18	lemonchiffon
simcell_34	powderblue
simcell_59,simcell_37,simcell_60,simcell_21,simcell_61	deeppink
simcell_15	crimson
simcell_83	lightsteelblue
simcell_85	pink
simcell_28	azure
simcell_76	blueviolet
simcell_16	darkorange
simcell_79	greenyellow
simcell_46,simcell_45	steelblue
simcell_11	mediumseagreen
simcell_6	moccasin
simcell_33	skyblue
simcell_58	darkcyan
simcell_40	teal
simcell_25	darkgray
simcell_70,simcell_71,simcell_69,simcell_68	mediumorchid
simcell_30	magenta
simcell_52,simcell_53	aliceblue
simcell_56,simcell_75,simcell_73,simcell_72,simcell_74,simcell_55	darkseagreen
simcell_38	darkgoldenrod
simcell_39	brown
simcell_48	lightcoral
simcell_67	plum
simcell_51	darksalmon
simcell_50	bisque
simcell_57	peachpuff
simcell_66	lightpink
