simcell_1	gray
simcell_2	indianred
simcell_6	mediumpurple
simcell_23	darkseagreen
simcell_45,simcell_68,simcell_63,simcell_62,simcell_38,simcell_65,simcell_43,simcell_70,simcell_44,simcell_64,simcell_40	navajowhite
simcell_33,simcell_77,simcell_57,simcell_54,simcell_56,simcell_55,simcell_32	blue
simcell_82,simcell_80,simcell_87,simcell_81,simcell_83,simcell_84,simcell_86	lightcoral
simcell_24	mediumblue
simcell_39	lime
simcell_69	seashell
simcell_66,simcell_67	teal
simcell_53	seagreen
simcell_78	beige
simcell_36,simcell_18,simcell_61,simcell_58,simcell_59	lightblue
simcell_85	yellow
simcell_79	moccasin
simcell_75,simcell_76	papayawhip
simcell_27	silver
simcell_49,simcell_51,simcell_50	fuchsia
simcell_60	deepskyblue
simcell_19	royalblue
simcell_28	aliceblue
