simcell_1	gray
simcell_52,simcell_22,simcell_66,simcell_72,simcell_68,simcell_75,simcell_47,simcell_18,simcell_67,simcell_64	lightcyan
simcell_23	moccasin
simcell_54	hotpink
simcell_62	pink
simcell_51	silver
simcell_53	sienna
simcell_73	khaki
simcell_31	darkorange
simcell_65	darkkhaki
simcell_63	mediumseagreen
simcell_44	cornflowerblue
simcell_46	midnightblue
simcell_69	lightsteelblue
simcell_74	firebrick
simcell_49,simcell_50,simcell_48	lawngreen
simcell_35,simcell_32,simcell_33,simcell_34	antiquewhite
simcell_71,simcell_38,simcell_70,simcell_37	goldenrod
simcell_79,simcell_80,simcell_61,simcell_59,simcell_78,simcell_60	thistle
simcell_41,simcell_39,simcell_40	darkblue
simcell_58	lightskyblue
simcell_11	chartreuse
simcell_27	limegreen
simcell_77,simcell_56,simcell_76	fuchsia
simcell_42	powderblue
