simcell_1	gray
simcell_27,simcell_16,simcell_18,simcell_26,simcell_43	cyan
simcell_17	deeppink
simcell_44	coral
simcell_20	navy
simcell_33	darkmagenta
simcell_25	navajowhite
simcell_19	forestgreen
simcell_40	aquamarine
simcell_64	cadetblue
simcell_61	lightcoral
simcell_56	mediumblue
simcell_66,simcell_65	midnightblue
simcell_80,simcell_83,simcell_36,simcell_82	red
simcell_6	darksalmon
simcell_63	seagreen
simcell_62	darkblue
simcell_38	peru
simcell_79	ghostwhite
simcell_42	cornsilk
simcell_81	darkorange
simcell_59	khaki
simcell_53,simcell_54	bisque
simcell_51	floralwhite
simcell_87,simcell_71,simcell_84,simcell_85,simcell_72,simcell_86,simcell_73	dimgray
simcell_78	palevioletred
simcell_60	orchid
simcell_52	lemonchiffon
simcell_76	tomato
simcell_70	peachpuff
simcell_88,simcell_89	lavender
simcell_48,simcell_49	palegoldenrod
simcell_77	mediumspringgreen
simcell_74	lightsteelblue
simcell_75	olivedrab
