simcell_1	gray
simcell_62,simcell_71,simcell_78,simcell_73,simcell_31,simcell_82,simcell_75,simcell_79,simcell_84,simcell_30,simcell_74,simcell_69,simcell_76,simcell_83	darkslateblue
simcell_72	mediumspringgreen
simcell_70	salmon
simcell_49	navy
simcell_77	darkkhaki
simcell_81,simcell_80	lightgrey
simcell_44	lightcoral
simcell_40,simcell_38,simcell_39	slategray
simcell_33	paleturquoise
simcell_21	deepskyblue
simcell_34,simcell_37,simcell_36	cyan
simcell_7	indianred
simcell_6	antiquewhite
simcell_45	lightgoldenrodyellow
simcell_43	darkgray
simcell_58,simcell_57	bisque
simcell_47	lavender
simcell_68,simcell_66	slateblue
simcell_35	mediumpurple
simcell_25,simcell_26	navajowhite
simcell_28,simcell_56,simcell_29,simcell_55	ivory
simcell_12	pink
simcell_53,simcell_52,simcell_54,simcell_50,simcell_51	blanchedalmond
simcell_59	lightblue
simcell_67	sandybrown
