simcell_1	gray
simcell_34,simcell_13	magenta
simcell_35	royalblue
simcell_15,simcell_31,simcell_30	lightsteelblue
simcell_59,simcell_33,simcell_60,simcell_61	darkseagreen
simcell_29	rosybrown
simcell_46,simcell_69,simcell_68,simcell_44,simcell_45	slategray
simcell_10	darkcyan
simcell_42,simcell_36,simcell_41,simcell_37,simcell_21	powderblue
simcell_82,simcell_75,simcell_78,simcell_79,simcell_80,simcell_77	yellowgreen
simcell_56,simcell_57	plum
simcell_49,simcell_50	violet
simcell_72,simcell_84,simcell_83	floralwhite
simcell_66,simcell_67,simcell_65	indianred
simcell_81	steelblue
simcell_76	orchid
simcell_52,simcell_53	goldenrod
simcell_58	burlywood
simcell_85	olive
simcell_71	tomato
simcell_48	lightsalmon
simcell_64	mintcream
simcell_63	mediumblue
simcell_74	dimgray
simcell_73	yellow
simcell_62	firebrick
