simcell_1	gray
simcell_33,simcell_30,simcell_57,simcell_60,simcell_59,simcell_62,simcell_77,simcell_75,simcell_76,simcell_58,simcell_78,simcell_28,simcell_63	aliceblue
simcell_55	sandybrown
simcell_79	lightgoldenrodyellow
simcell_7	springgreen
simcell_34	royalblue
simcell_31	floralwhite
simcell_61	tan
simcell_38,simcell_40,simcell_35,simcell_36,simcell_39,simcell_37	maroon
simcell_45	thistle
simcell_74,simcell_67,simcell_24,simcell_66,simcell_71,simcell_51,simcell_65,simcell_47,simcell_70,simcell_46,simcell_68,simcell_73,simcell_53,simcell_23,simcell_72,simcell_64	navy
simcell_44	lavender
simcell_9	limegreen
simcell_42,simcell_41,simcell_43	amethyst
simcell_52	darkmagenta
simcell_69	whitesmoke
simcell_19	mediumseagreen
simcell_18	saddlebrown
