simcell_1	gray
simcell_79,simcell_71,simcell_91,simcell_41,simcell_25,simcell_33,simcell_59,simcell_36,simcell_39,simcell_70,simcell_48,simcell_60,simcell_43,simcell_78,simcell_38,simcell_86,simcell_40,simcell_14,simcell_35,simcell_75,simcell_90,simcell_74,simcell_42	darkgray
simcell_87	snow
simcell_44	mediumturquoise
simcell_54	aqua
simcell_69	ghostwhite
simcell_34	skyblue
simcell_73,simcell_72	lightskyblue
simcell_55	blueviolet
simcell_85,simcell_84	gold
simcell_89,simcell_67	mintcream
simcell_19,simcell_20,simcell_21	ivory
simcell_16,simcell_32	teal
simcell_46	mediumaquamarine
simcell_76	mediumvioletred
simcell_77	cadetblue
simcell_88	yellow
simcell_57	lightsteelblue
simcell_63,simcell_83,simcell_81	honeydew
simcell_58	sandybrown
simcell_82	darkturquoise
simcell_80	turquoise
