C1	S78 S915 S916 SS917
C2	S127 S128 S129 S130 S131 S133 S134 S387 S388 S391 SS679
C3	S147 S812 S815 S816 S817 SS818
C4	S62 S113 S116 S265 S266 S269 S270 S851 S852 S853 SS854
C5	S880 S881 S882 S883 S884 S885 S938 S946 S947 S949 SS950
C6	S11 S12 S656 S657 S658 S659 S660 S661 S662 S663 SS861
C7	S288 S508 S511 S512 S607 S893 S894 S895 S896 S899 SS900
C8	S1 S2 S3 S4 S5 S6 S7 S8 S10 S51 S52 S53 S54 S55 S56 S58 S59 S102 S104 S108 S111 S165 S166 S167 S168 S169 S170 S172 S175 S176 S222 S223 S342 S343 S344 S345 S347 S348 S363 S366 S429 S430 S431 S432 S433 S434 S435 S436 S438 S439 S440 S441 S442 S443 S444 S445 S477 S478 S479 S481 S482 S483 S484 S485 S486 S563 S564 S565 S566 S567 S568 S569 S570 S629 S630 S631 S632 S633 S634 S635 S636 S643 S646 S703 S704 S705 S706 S707 S708 S709 S710 S711 S712 S753 S756 S847 S848 S850 S855 S856 SS974
C9	S322 S392 S929 S937 S953 SS962
C10	S212 S888 S889 SS890
C11	S201 S202 S203 S204 S205 S206 S207 S210 S997 S1002 SS1004
C12	S192 S359 S364 SS644
C13	S558 S957 S959 SS960
C14	S281 S293 S294 S608 S609 S610 S615 S616 S820 S897 SS898
C15	S276 S277 S278 S279 S280 S282 S283 S394 S395 S673 SS964
C16	S30 S41 S42 S43 S44 S45 S47 S48 S49 S50 S182 S183 S184 S225 S226 S227 S228 S229 S230 S231 S234 S235 S236 S321 S324 S325 S489 S490 S491 S492 S493 S494 S495 S496 S497 S600 S601 S602 S603 S604 S605 S606 S647 S648 S654 S665 S666 S762 S766 S769 SS1005
C17	S27 S79 S80 S81 S82 S83 S84 S91 S92 S93 S141 S213 S233 S242 S243 S244 S245 S246 S247 S248 S351 S352 S355 S356 S376 S446 S506 S507 S510 S513 S514 S515 S516 S637 S638 S639 S640 S641 S755 S760 S772 S775 S776 S782 S967 S968 S969 S971 S972 S973 SS977
C18	S39 S181 S187 S190 S217 S224 S253 S267 S327 S328 S330 S331 S463 S464 S465 S466 S467 S468 S476 S504 S543 S573 S611 S612 S613 S614 S617 S618 S622 S624 S645 S696 S739 S740 S741 S742 S745 S901 S902 S903 S904 S905 S906 S907 S908 S909 S910 S927 S928 S961 SS1008
C19	S369 S754 S802 S803 S804 SS919
C20	S143 S594 S595 S597 S598 SS599
C21	S177 S178 S179 S180 S240 SS286
C22	S237 S413 S416 S425 S437 SS544
C23	S171 S173 S174 S188 S393 SS813
C24	S372 S373 S374 S375 S377 S378 S716 S717 S718 S719 SS879
C25	S621 S982 S984 SS985
C26	S354 S498 S499 SS502
C27	S743 S744 S746 S747 S748 S749 S750 S751 S831 S834 SS948
C28	S15 S16 S19 S20 S21 S22 S23 S24 S25 S26 S149 S150 S152 S154 S155 S189 S219 S297 S298 S303 S304 S305 S306 S307 S308 S310 S406 S407 S408 S409 S410 S411 S412 S577 S580 S581 S582 S583 S584 S585 S586 S680 S681 S682 S683 S684 S685 S686 S688 S858 SS865
C29	S232 S241 S249 SS873
C30	S186 S469 S470 S472 S939 S940 S941 S942 S943 S944 SS945
C31	S9 S17 S72 S98 S100 S101 S105 S106 S107 S109 S110 S158 S209 S254 S313 S379 S380 S382 S383 S384 S385 S386 S427 S525 S526 S527 S528 S529 S531 S532 S545 S649 S650 S651 S652 S653 S655 S759 S761 S806 S807 S808 S809 S810 S811 S955 S956 S958 S986 S999 SS1001
C32	S76 S95 S121 S124 S126 S132 S151 S153 S185 S220 S272 S275 S285 S287 S299 S309 S337 S358 S381 S419 S428 S447 S505 S587 S588 S589 S590 S591 S593 S623 S698 S699 S700 S701 S702 S733 S787 S805 S840 S866 S867 S868 S870 S871 S872 S877 S878 S1000 S1007 S1010 SS1014
C33	S13 S14 S18 S60 S114 S144 S148 S268 S271 S289 S290 S291 S292 S295 S296 S300 S301 S302 S361 S450 S451 S455 S456 S457 S458 S459 S460 S461 S462 S571 S572 S575 S576 S592 S721 S722 S728 S730 S731 S732 S734 S738 S774 S777 S862 S863 S886 S887 S891 S892 SS966
C34	S112 S125 S757 S814 S823 SS952
C35	S368 S370 S371 SS970
C36	S195 S196 S197 S198 S199 S200 S319 S320 S323 S326 SS503
C37	S65 S97 S103 S156 S157 S159 S160 S161 S162 S163 S164 S208 S238 S239 S252 S273 S274 S284 S332 S333 S360 S417 S418 S420 S421 S422 S423 S424 S426 S554 S559 S670 S671 S676 S690 S691 S692 S693 S694 S695 S773 S874 S875 S876 S998 S1003 S1006 S1009 S1011 S1012 SS1013
C38	S37 S57 S63 S64 S73 S221 S251 S346 S349 S350 S357 S365 S396 S397 S398 S399 S400 S401 S402 S403 S480 S500 S501 S555 S560 S561 S627 S642 S672 S674 S677 S678 S689 S714 S720 S735 S736 S758 S833 S835 S836 S839 S918 S936 S975 S976 S978 S979 S980 S981 SS983
C39	S788 S789 S790 S791 S792 S793 S794 S795 S798 S799 SS951
C40	S517 S518 S519 S520 S521 S522 S523 S524 S530 S535 SS562
C41	S28 S29 S31 S32 S33 S34 S35 S36 S38 S61 S191 S193 S194 S311 S312 S314 S315 S316 S317 S318 S334 S335 S353 S362 S404 S405 S448 S449 S452 S453 S454 S619 S620 S697 S713 S715 S723 S724 S725 S726 S727 S729 S737 S911 S913 SS914
C42	S250 S414 S415 S487 S488 SS578
C43	S77 S119 S336 S752 S912 SS954
C44	S71 S367 S574 S579 S596 SS625
C45	S329 S675 S857 S859 SS860
