simcell_1	gray
simcell_2	goldenrod
simcell_36,simcell_67,simcell_34,simcell_68	magenta
simcell_3	blanchedalmond
simcell_35	palegoldenrod
simcell_72,simcell_71	wheat
simcell_69	navy
simcell_39,simcell_40	darkgoldenrod
simcell_44,simcell_46,simcell_47,simcell_45	indianred
simcell_60	green
simcell_24,simcell_74,simcell_26,simcell_76,simcell_75,simcell_83,simcell_84,simcell_78,simcell_77	blue
simcell_70	mediumslateblue
simcell_38	darkgray
simcell_37	orchid
simcell_42	ivory
simcell_41	papayawhip
simcell_48	fuchsia
simcell_20	aqua
simcell_43	firebrick
simcell_59	lightslategray
simcell_57,simcell_58	oldlace
simcell_64,simcell_66,simcell_63	salmon
simcell_79	honeydew
simcell_25	deepskyblue
simcell_81,simcell_82,simcell_80	lightpink
simcell_56,simcell_54,simcell_55	mistyrose
simcell_61	khaki
simcell_62	lightcyan
simcell_65	crimson
simcell_53	darkmagenta
