simcell_1	gray
simcell_2	darkolivegreen
simcell_15,simcell_28,simcell_30	paleturquoise
simcell_66,simcell_47,simcell_67	lightsteelblue
simcell_82,simcell_83,simcell_76,simcell_77	yellow
simcell_29	lawngreen
simcell_26,simcell_27	lightskyblue
simcell_31,simcell_32	coral
simcell_35,simcell_34,simcell_33	darkseagreen
simcell_65	greenyellow
simcell_48	dodgerblue
simcell_64	blueviolet
simcell_20	palegreen
simcell_51	darkorchid
simcell_21	dimgray
simcell_46	mediumturquoise
simcell_53,simcell_54	olive
simcell_41	ghostwhite
simcell_63	mediumblue
simcell_42,simcell_43	lavenderblush
simcell_80,simcell_79,simcell_81	blanchedalmond
simcell_71,simcell_73,simcell_70,simcell_69,simcell_68,simcell_75,simcell_74,simcell_56	cadetblue
simcell_36	indigo
simcell_45	moccasin
simcell_52	rosybrown
simcell_62	darkturquoise
simcell_19	darkslateblue
simcell_44	steelblue
simcell_78	ivory
simcell_72	navy
