simcell_1	gray
simcell_67,simcell_66,simcell_71,simcell_48,simcell_60,simcell_68,simcell_69,simcell_63,simcell_62	sienna
simcell_70	lightskyblue
simcell_61	cornsilk
simcell_49	thistle
simcell_59,simcell_58	darkslategray
simcell_34	floralwhite
simcell_5	cadetblue
simcell_83,simcell_84	oldlace
simcell_38,simcell_19,simcell_9	palegoldenrod
simcell_57,simcell_55,simcell_54	lawngreen
simcell_79,simcell_80,simcell_77	maroon
simcell_33	ghostwhite
simcell_32	olive
simcell_22,simcell_23	forestgreen
simcell_42	cyan
simcell_44	olivedrab
simcell_82	linen
simcell_37	wheat
simcell_40	lightcoral
simcell_31	yellowgreen
simcell_30	khaki
simcell_56	limegreen
simcell_76	navy
simcell_78	snow
simcell_27	darkblue
simcell_41	darkkhaki
simcell_21	saddlebrown
simcell_81	salmon
simcell_39	gainsboro
simcell_74,simcell_75	lightgrey
simcell_73	darksalmon
simcell_86,simcell_85	lightpink
simcell_87	deeppink
