simcell_1	gray
simcell_25,simcell_24	ivory
simcell_26,simcell_27	papayawhip
simcell_7	mistyrose
simcell_10	slategray
simcell_65,simcell_38,simcell_84,simcell_39,simcell_40,simcell_50,simcell_42,simcell_49,simcell_61,simcell_62,simcell_64	linen
simcell_13	lightblue
simcell_29,simcell_28	darkslateblue
simcell_31,simcell_30	powderblue
simcell_48,simcell_47	tan
simcell_72,simcell_73	lime
simcell_66	gainsboro
simcell_63	salmon
simcell_33	dodgerblue
simcell_85	darkmagenta
simcell_68	lightsalmon
simcell_70,simcell_71	green
simcell_81,simcell_78,simcell_79,simcell_83,simcell_54,simcell_75	orangered
simcell_46	darkcyan
simcell_67	lightyellow
simcell_69	mediumslateblue
simcell_80	darkkhaki
simcell_82	goldenrod
simcell_74	cornflowerblue
simcell_76	antiquewhite
simcell_77	whitesmoke
simcell_58,simcell_56,simcell_59,simcell_57,simcell_55	darkgreen
