simcell_21,simcell_28,simcell_27,simcell_26,simcell_12,simcell_1,simcell_39,simcell_22,simcell_40,simcell_38	gray
simcell_24	palegoldenrod
simcell_20	bisque
simcell_10	lightgoldenrodyellow
simcell_42,simcell_41	hotpink
simcell_50,simcell_32,simcell_47,simcell_44,simcell_49	lightsteelblue
simcell_79,simcell_80,simcell_77,simcell_78,simcell_61,simcell_60	whitesmoke
simcell_48	lightslategray
simcell_43	lightblue
simcell_45,simcell_46	mediumorchid
simcell_75,simcell_76,simcell_74,simcell_57	ghostwhite
simcell_73	indigo
simcell_52	amethyst
simcell_82,simcell_83,simcell_81	blue
simcell_70,simcell_65,simcell_68,simcell_72,simcell_85	darkgray
simcell_63	dimgray
simcell_84	green
simcell_67	maroon
simcell_71	oldlace
simcell_86	darkseagreen
simcell_69	lightcyan
simcell_66	teal
