simcell_1	gray
simcell_2	aqua
simcell_20	darkkhaki
simcell_22	green
simcell_14	skyblue
simcell_5	plum
simcell_67,simcell_84,simcell_85,simcell_66,simcell_78,simcell_79	hotpink
simcell_3	sandybrown
simcell_21	lightpink
simcell_13	maroon
simcell_26,simcell_46	mediumaquamarine
simcell_11	darkgoldenrod
simcell_83	dodgerblue
simcell_69	fuchsia
simcell_81,simcell_80,simcell_82	tan
simcell_51,simcell_52,simcell_50	azure
simcell_73,simcell_74,simcell_71,simcell_72	yellowgreen
simcell_59,simcell_53,simcell_58,simcell_60,simcell_61,simcell_62	darkolivegreen
simcell_47	magenta
simcell_41,simcell_40	lavender
simcell_43,simcell_42,simcell_44,simcell_45	darkred
simcell_68	cornflowerblue
simcell_31	lightyellow
simcell_30	slategray
simcell_28	moccasin
simcell_70	mediumspringgreen
simcell_54	linen
simcell_36	darkmagenta
simcell_76,simcell_77,simcell_75,simcell_56	forestgreen
simcell_57	cornsilk
