S1	neut_5_37_simulator_naive
S2	neut_50_7_simulator_simcell_59
S3	neut_50_9_simulator_simcell_18
S4	neut_10_23_simulator_simcell_6
S5	neut_10_23_simulator_simcell_7
S6	neut_50_14_simulator_simcell_64
S7	neut_10_23_simulator_simcell_8
S8	neut_10_23_simulator_simcell_9
S9	neut_50_7_simulator_simcell_6
S10	neut_10_27_simulator_simcell_6
S11	neut_10_27_simulator_simcell_7
S12	neut_50_4_simulator_simcell_56
S13	neut_50_4_simulator_simcell_57
S14	neut_50_3_simulator_simcell_68
S15	neut_50_3_simulator_simcell_69
S16	neut_50_2_simulator_simcell_18
S17	neut_50_4_simulator_simcell_53
S18	neut_50_3_simulator_simcell_66
S19	neut_50_3_simulator_simcell_67
S20	neut_50_3_simulator_simcell_60
S21	neut_50_3_simulator_simcell_61
S22	neut_10_27_simulator_simcell_8
S23	neut_10_27_simulator_simcell_9
S24	neut_50_5_simulator_simcell_48
S25	neut_50_5_simulator_simcell_49
S26	neut_50_10_simulator_naive
S27	neut_50_5_simulator_simcell_44
S28	neut_50_5_simulator_simcell_45
S29	neut_50_5_simulator_simcell_46
S30	neut_50_5_simulator_simcell_41
S31	neut_50_5_simulator_simcell_42
S32	neut_50_9_simulator_simcell_78
S33	neut_50_12_simulator_simcell_51
S34	neut_50_12_simulator_simcell_53
S35	neut_50_12_simulator_simcell_54
S36	neut_50_12_simulator_simcell_55
S37	neut_50_10_simulator_simcell_58
S38	neut_50_10_simulator_simcell_59
S39	neut_50_12_simulator_simcell_58
S40	neut_50_10_simulator_simcell_54
S41	neut_50_10_simulator_simcell_55
S42	neut_50_10_simulator_simcell_52
S43	neut_50_10_simulator_simcell_53
S44	neut_50_10_simulator_simcell_50
S45	neut_50_10_simulator_simcell_51
S46	neut_5_31_simulator_naive
S47	neut_10_21_simulator_naive
S48	neut_50_2_simulator_naive
S49	neut_50_9_simulator_simcell_70
S50	neut_50_8_simulator_simcell_42
S51	neut_5_50_simulator_simcell_9
S52	neut_5_50_simulator_simcell_8
S53	neut_5_50_simulator_simcell_7
S54	neut_50_11_simulator_simcell_68
S55	neut_5_50_simulator_simcell_5
S56	neut_50_11_simulator_simcell_69
S57	neut_50_11_simulator_simcell_46
S58	neut_50_11_simulator_simcell_47
S59	neut_5_51_simulator_simcell_8
S60	neut_50_11_simulator_simcell_45
S61	neut_50_11_simulator_simcell_40
S62	neut_50_1_simulator_simcell_30
