simcell_1	gray
simcell_278,simcell_166,simcell_168,simcell_169,simcell_167,simcell_79,simcell_280,simcell_165,simcell_277,simcell_77,simcell_78,simcell_276,simcell_163,simcell_274,simcell_275,simcell_279	chartreuse
simcell_160	saddlebrown
simcell_76	lavender
simcell_164	peru
simcell_85	darkolivegreen
simcell_171,simcell_281	azure
simcell_88,simcell_87,simcell_86,simcell_89	beige
simcell_175,simcell_176,simcell_173,simcell_174	bisque
simcell_73,simcell_74,simcell_71,simcell_72	palegreen
simcell_636,simcell_997,simcell_227,simcell_788,simcell_677,simcell_756,simcell_1013,simcell_1160,simcell_755,simcell_1000,simcell_1104,simcell_482,simcell_469,simcell_972,simcell_1166,simcell_640,simcell_833,simcell_1139,simcell_656,simcell_638,simcell_1182,simcell_622,simcell_484,simcell_1167,simcell_466,simcell_1042,simcell_858,simcell_225,simcell_581,simcell_754,simcell_861,simcell_679,simcell_974,simcell_361,simcell_1002,simcell_663,simcell_373,simcell_804,simcell_903,simcell_1035,simcell_1184,simcell_1183,simcell_796,simcell_747,simcell_1122,simcell_237,simcell_193,simcell_374,simcell_789,simcell_839,simcell_1124,simcell_994,simcell_588,simcell_1130,simcell_1048,simcell_1145,simcell_1054,simcell_324,simcell_360,simcell_1041,simcell_1187,simcell_1047,simcell_1009,simcell_470,simcell_1050,simcell_998,simcell_664,simcell_1064,simcell_1161,simcell_660,simcell_662,simcell_996,simcell_659,simcell_226,simcell_235,simcell_1114,simcell_224,simcell_902,simcell_1173,simcell_1080,simcell_981,simcell_1044,simcell_675,simcell_1003,simcell_975,simcell_406,simcell_1033,simcell_1158,simcell_977,simcell_786,simcell_123,simcell_122,simcell_840,simcell_641,simcell_430,simcell_999,simcell_1121,simcell_1068,simcell_852,simcell_1106,simcell_1081,simcell_1186,simcell_838,simcell_853,simcell_1157,simcell_905,simcell_467,simcell_1016,simcell_797,simcell_1108,simcell_1180,simcell_658,simcell_1007,simcell_1105,simcell_1021,simcell_1162,simcell_1039,simcell_980,simcell_837,simcell_236,simcell_1179,simcell_1123,simcell_979,simcell_1066,simcell_995,simcell_1049,simcell_620,simcell_860,simcell_803,simcell_751,simcell_1103,simcell_1141,simcell_836,simcell_904,simcell_1008,simcell_973,simcell_859,simcell_483,simcell_1177,simcell_798,simcell_1005,simcell_661,simcell_834,simcell_1138,simcell_1001,simcell_304,simcell_1178,simcell_1006,simcell_1019,simcell_854,simcell_223,simcell_1040,simcell_866,simcell_1185,simcell_982,simcell_1065,simcell_1004,simcell_1107,simcell_1188,simcell_1023,simcell_1037,simcell_1115,simcell_790,simcell_976,simcell_831,simcell_835,simcell_857,simcell_1181,simcell_1038,simcell_784,simcell_1175,simcell_657,simcell_750,simcell_830,simcell_748,simcell_862,simcell_1134,simcell_1176	gainsboro
simcell_282	gold
simcell_172	purple
simcell_41	darkred
simcell_94,simcell_179,simcell_178,simcell_177	salmon
simcell_75	indianred
simcell_149,simcell_148,simcell_272,simcell_158,simcell_157,simcell_154,simcell_156,simcell_151,simcell_271	powderblue
simcell_832	orchid
simcell_785	cornsilk
simcell_468	wheat
simcell_1043	lightsalmon
simcell_355	rosybrown
simcell_856	skyblue
simcell_978	floralwhite
simcell_623	salmon
simcell_362	peachpuff
simcell_1174	aqua
simcell_1135	tan
simcell_1133	linen
simcell_1159	tomato
simcell_676	lavenderblush
simcell_865	antiquewhite
simcell_1022	magenta
simcell_1113,simcell_1112	aquamarine
simcell_102,simcell_101	antiquewhite
simcell_846,simcell_845	beige
simcell_864	powderblue
simcell_1190	gold
simcell_1136,simcell_1137	yellow
simcell_542,simcell_541	lightslategray
simcell_1051,simcell_1052	moccasin
simcell_321,simcell_322	seashell
simcell_1110,simcell_1111,simcell_1109	chocolate
simcell_829,simcell_827,simcell_828	darkred
simcell_1168,simcell_1169	lightcoral
simcell_1164,simcell_1163,simcell_1165	whitesmoke
simcell_1102,simcell_1100,simcell_1101,simcell_1099	saddlebrown
simcell_1125,simcell_1028,simcell_1027	peru
simcell_472,simcell_665,simcell_666,simcell_306	mediumpurple
simcell_1029	mediumturquoise
simcell_437,simcell_631	papayawhip
simcell_228,simcell_229	khaki
simcell_534,simcell_533	fuchsia
simcell_763,simcell_540,simcell_762	mediumorchid
simcell_1073,simcell_1078,simcell_1076,simcell_1079,simcell_1074,simcell_900,simcell_1077,simcell_1075	brown
simcell_821,simcell_818,simcell_817,simcell_824,simcell_819,simcell_820,simcell_823	palevioletred
simcell_65	royalblue
simcell_401,simcell_579,simcell_575,simcell_402,simcell_577,simcell_578,simcell_261,simcell_573,simcell_576,simcell_574	lightgrey
simcell_250,simcell_139,simcell_394,simcell_137,simcell_393,simcell_395	floralwhite
simcell_895,simcell_897,simcell_896,simcell_893,simcell_670,simcell_892	lawngreen
simcell_1061,simcell_1152,simcell_1153,simcell_1147,simcell_1154,simcell_1155,simcell_1062,simcell_1148,simcell_1056,simcell_1149,simcell_1191,simcell_1192	limegreen
simcell_599,simcell_594,simcell_597,simcell_590,simcell_598,simcell_602,simcell_596,simcell_591,simcell_595,simcell_592,simcell_593,simcell_601,simcell_589,simcell_600,simcell_414	mediumturquoise
simcell_475,simcell_201,simcell_312,simcell_315,simcell_474,simcell_106,simcell_317,simcell_108,simcell_310,simcell_200,simcell_313,simcell_107,simcell_316	paleturquoise
simcell_22	goldenrod
simcell_548,simcell_993,simcell_551,simcell_767,simcell_992,simcell_771,simcell_773,simcell_555,simcell_768,simcell_988,simcell_987,simcell_367,simcell_366,simcell_554	violet
simcell_247,simcell_572,simcell_562,simcell_780,simcell_777,simcell_391,simcell_776,simcell_779,simcell_246,simcell_392,simcell_387,simcell_778,simcell_248	lightgreen
simcell_452,simcell_867,simcell_870,simcell_875,simcell_449,simcell_873,simcell_884,simcell_879,simcell_887,simcell_886,simcell_881,simcell_649,simcell_451,simcell_450,simcell_876,simcell_885,simcell_878,simcell_871,simcell_877,simcell_869,simcell_872,simcell_650,simcell_448,simcell_882,simcell_645,simcell_883,simcell_868,simcell_651	skyblue
simcell_730,simcell_333,simcell_948,simcell_688,simcell_686,simcell_685,simcell_490,simcell_958,simcell_683,simcell_689,simcell_735,simcell_964,simcell_957,simcell_949,simcell_908,simcell_515,simcell_687,simcell_954,simcell_488,simcell_697,simcell_514,simcell_334,simcell_963,simcell_956,simcell_736,simcell_682,simcell_681,simcell_684,simcell_906,simcell_513,simcell_955,simcell_696	cyan
simcell_180,simcell_181	coral
simcell_273	blanchedalmond
simcell_155	orchid
simcell_152	olive
simcell_863	cyan
simcell_1189	darkgoldenrod
simcell_1120	lawngreen
simcell_1126	seashell
simcell_1128	fuchsia
simcell_1172,simcell_1170,simcell_1171	blueviolet
simcell_632	bisque
simcell_438	thistle
simcell_125	lightskyblue
simcell_126,simcell_127	lemonchiffon
simcell_758,simcell_757,simcell_537	green
simcell_764	slateblue
simcell_759,simcell_760	sienna
simcell_822	purple
simcell_825,simcell_826	khaki
simcell_422	olivedrab
simcell_419,simcell_799,simcell_415,simcell_418,simcell_604,simcell_420,simcell_800,simcell_416	yellow
simcell_396,simcell_397,simcell_258	lightsalmon
simcell_138	oldlace
simcell_254,simcell_256,simcell_255,simcell_253	darkcyan
simcell_320	cadetblue
simcell_1071,simcell_1072	indianred
simcell_1070,simcell_891,simcell_1069,simcell_668	darkgray
simcell_1156	blanchedalmond
simcell_1150,simcell_1151	olivedrab
simcell_411	palegoldenrod
simcell_410	darkkhaki
simcell_199	aqua
simcell_311	cornflowerblue
simcell_473	yellowgreen
simcell_309	darkseagreen
simcell_308	lightyellow
simcell_318	turquoise
simcell_314	mistyrose
simcell_117	lightcoral
simcell_351,simcell_352	magenta
simcell_215,simcell_350,simcell_349,simcell_216	aquamarine
simcell_969,simcell_967,simcell_738,simcell_739,simcell_971,simcell_968,simcell_742,simcell_970,simcell_527,simcell_525,simcell_965,simcell_745,simcell_526,simcell_744	chocolate
simcell_769	seagreen
simcell_550	burlywood
simcell_370	forestgreen
simcell_368	dodgerblue
simcell_549	firebrick
simcell_775	mediumvioletred
simcell_552	lightblue
simcell_990,simcell_989	pink
simcell_985,simcell_983,simcell_986	teal
simcell_568	mediumspringgreen
simcell_567	lightpink
simcell_571	plum
simcell_781	lime
simcell_783,simcell_782	lightseagreen
simcell_564,simcell_565,simcell_563	lightgoldenrodyellow
simcell_381,simcell_383,simcell_242,simcell_384,simcell_382	maroon
simcell_378,simcell_240,simcell_380,simcell_556,simcell_557,simcell_377	red
simcell_880	lightgrey
simcell_874	royalblue
simcell_652,simcell_653	darksalmon
simcell_888,simcell_889	palegreen
simcell_456,simcell_454,simcell_655	tomato
simcell_487	springgreen
simcell_959	lavender
simcell_335	darkblue
simcell_907	olive
simcell_728,simcell_727	honeydew
simcell_732,simcell_731	snow
simcell_961,simcell_960,simcell_962	navy
simcell_952,simcell_950,simcell_953,simcell_951	darkgreen
simcell_911,simcell_912	darkslateblue
simcell_691,simcell_494,simcell_690,simcell_692	whitesmoke
simcell_922,simcell_923,simcell_924,simcell_916,simcell_917,simcell_921,simcell_1092,simcell_1087,simcell_1090,simcell_919,simcell_1088,simcell_1089,simcell_925	dimgray
simcell_501,simcell_705	darkgoldenrod
simcell_153	moccasin
simcell_536	hotpink
simcell_761	darkorange
simcell_421	crimson
