simcell_1	gray
simcell_13,simcell_12,simcell_63,simcell_66,simcell_61,simcell_62,simcell_40,simcell_38,simcell_68,simcell_70,simcell_37,simcell_71,simcell_41,simcell_43,simcell_56,simcell_39,simcell_46,simcell_23,simcell_69,simcell_72	lime
simcell_58	darkseagreen
simcell_65	forestgreen
simcell_67	purple
simcell_64	darkcyan
simcell_55	moccasin
simcell_86	paleturquoise
simcell_59	burlywood
simcell_29,simcell_74,simcell_73,simcell_79,simcell_78,simcell_85,simcell_84,simcell_81,simcell_82,simcell_52,simcell_80,simcell_77,simcell_28,simcell_32,simcell_27,simcell_18,simcell_75,simcell_83	darkorange
simcell_87	green
simcell_60	blue
simcell_51	lemonchiffon
simcell_33	deepskyblue
simcell_76	chocolate
