simcell_1	gray
simcell_8	turquoise
simcell_10,simcell_65,simcell_45,simcell_49,simcell_70,simcell_25,simcell_68,simcell_66,simcell_52,simcell_67,simcell_72,simcell_26,simcell_50,simcell_51	gainsboro
simcell_32	darkolivegreen
simcell_17	darkorange
simcell_30	bisque
simcell_31	peru
simcell_29,simcell_27,simcell_15	mediumaquamarine
simcell_44	skyblue
simcell_71	darkblue
simcell_69	steelblue
simcell_46,simcell_48,simcell_47	forestgreen
simcell_9	gold
simcell_14	moccasin
simcell_28	lightsalmon
simcell_38	cadetblue
simcell_76,simcell_64,simcell_60,simcell_63,simcell_59,simcell_78,simcell_55,simcell_53,simcell_79,simcell_73,simcell_77,simcell_58	brown
simcell_39	dimgray
simcell_75	aqua
simcell_37	teal
simcell_62	aliceblue
simcell_61	mediumblue
simcell_74	paleturquoise
simcell_54	lightblue
