simcell_44,simcell_10,simcell_79,simcell_57,simcell_43,simcell_41,simcell_30,simcell_19,simcell_23,simcell_58,simcell_69,simcell_82,simcell_70,simcell_72,simcell_42,simcell_77,simcell_67,simcell_74,simcell_18,simcell_1,simcell_38,simcell_80,simcell_66,simcell_68,simcell_75,simcell_71,simcell_81	gray
simcell_16	orange
simcell_73	gainsboro
simcell_78	lightskyblue
simcell_39	limegreen
simcell_76	aliceblue
simcell_31	magenta
simcell_17	lightgoldenrodyellow
simcell_65,simcell_64	hotpink
simcell_63,simcell_61,simcell_62	salmon
simcell_55,simcell_54,simcell_50,simcell_49,simcell_51,simcell_53	darkgreen
simcell_56	mediumspringgreen
simcell_46	darkviolet
simcell_45	azure
simcell_52	mediumturquoise
simcell_47,simcell_48	seagreen
